no	start_time	end_time	speaker	value
1	0	1.28	<NOISE>	<NOISE>
2	1.28	2.8845625	<A>	你看这里有一幅图&啊。
3	2.8845625	3.3875625	<B>	好的。
4	3.3875625	7.056125	<A>	看图片就有一些人他们在做什么，你觉得他们在做什么，
5	7.056125	10.8431875	<A>	还有图片中有些什么东西，把你看到的多说一下，说的越多越好&啊。
6	10.8431875	14.844625	<B>	&噢（那个那个）/那个有三个人，一个是大人女同志。
7	14.844625	17.1374375	<B>	一个小女孩一个是小男生，
8	17.1374375	17.6551875	<A>	&嗯。
9	17.6551875	19.1345	<B>	小男生爬在上面
10	19.1345	19.7114375	<NOISE>	<NOISE>
11	19.7114375	20.391875	<B>	拿饼干，
12	20.391875	20.909625	<A>	&嗯。
13	20.909625	23.675875	<B>	小姑娘可能和给（他）/他拿了给他吃东西什么。
14	23.675875	24.0605	<A>	&嗯。
15	24.0605	25.3605625	<B>	一个凳子很危险。
16	25.3605625	25.7895625	<A>	&嗯。
17	25.7895625	28.14	<B>	上面有吊橱，下面也有厨房的橱。
18	28.14	31.2871875	<B>	下面吊橱&嗯下面有的有放的平橱。
19	31.2871875	31.790125	<A>	&嗯。
20	31.790125	35.932125	<B>	这个女的那个水斗里水漫出来了，就这个&唉（大）/大的再擦盆子大概。
21	35.932125	36.3906875	<NOISE>	<NOISE>
22	36.3906875	38	<B>	但是水开得太大。
23	38	41.96825	<B>	可能扑出来了溢出来了他都没管，桌面上还有几个盆子。
24	41.96825	42.4268125	<NOISE>	<NOISE>
25	42.4268125	46.04375	<B>	&嗯她（这这个这个）/这个 大人的厨房
26	46.04375	50.807	<B>	厨具是靠着窗户的，窗窗外可能还有窗外的景色两个窗边。
27	50.807	51.5761875	<A>	&嗯。
28	51.5761875	52.53775	<NOISE>	<NOISE>
29	52.53775	57.5204375	<B>	主要是一个男的小小朋友的危险，那个凳子斜了，女的么水（溢）/溢出来了。
30	57.5204375	58.0678125	<A>	&嗯。
31	58.0678125	59.4435	<B>	基本上就这样他们。
32	59.4435	60.826625	<A>	其它还有什么东西吗？
33	60.826625	63.1490625	<NOISE>	<NOISE>
34	63.1490625	64.5691875	<B>	其他我看不也什么没有什么。
35	64.5691875	65.0573125	<NOISE>	<NOISE>
36	65.0573125	65.656375	<A>	没什么了？
37	65.656375	67.1135	<B>	台子上放了几个东西看不清楚。
38	67.1135	67.9566875	<NOISE>	<NOISE>
39	67.9566875	69.835375	<B>	好像一个大盘子，两个小盆子。
40	69.835375	70.41225	<A>	&啊。
41	70.41225	72.0394375	<B>	外面窗外的东西
42	72.0394375	73.2524375	<NOISE>	<NOISE>
43	73.2524375	75.4195625	<B>	好像（就）/就那小路&啊植物&啊。
44	75.4195625	75.78	<A>	&嗯。
45	75.78	76.5881875	<B>	【上海话】
46	76.5881875	77.5645	<NOISE>	<NOISE>
47	77.5645	78.0526875	<A>	好的。
48	78.0526875	78.68875	<NOISE>	<NOISE>
49	78.68875	79.8721875	<A>	其他有没有漏看&啊。
50	79.8721875	81.3661875	<NOISE>	<NOISE>
51	81.3661875	82.8306875	<B>	厨房间还有些什么东西。
52	82.8306875	83.156125	<NOISE>	<NOISE>
53	83.156125	87.7138125	<B>	厨房不是两个大橱两个大的底层的橱，上面两个就门开着那个饼干。
54	87.7138125	88.3055	<NOISE>	<NOISE>
55	88.3055	89.3261875	<B>	这是一个窗帘。
56	89.3261875	90.2876875	<A>	&嗯对的。
57	90.2876875	91.1605	<B>	好像没什么了吧。
58	91.1605	92.7179375	<A>	&啊那他们三个什么关系&啊？
59	92.7179375	93.8421875	<NOISE>	<NOISE>
60	93.8421875	95.203125	<B>	关系肯定是一家人嘛。
61	95.203125	95.6616875	<A>	&啊。
62	95.6616875	96.1941875	<NOISE>	<NOISE>
63	96.1941875	97.93975	<B>	可能是一个母亲一个女儿一个儿子。
64	97.93975	98.3983125	<A>	&啊。
65	98.3983125	99.2415	<B>	好的。
66	99.2415	99.981125	<A>	其他没了对吧？
67	99.981125	100.4249375	<B>	其它没了。
68	100.4249375	101.31	<A>	&嗯好。
